Año;Mes;NCM;Pdes;Pnet(kg);FOB(u$s)
2020;01;04061010;221;       91357,480;       308689,77                                                                                                                                                  
2020;01;04061010;999;     1674656,090;      5699673,61                                                                                                                                                  
2020;01;04062000;221;       24791,600;       190591,85                                                                                                                                                  
2020;01;04062000;999;        9414,200;        68248,39                                                                                                                                                  
2020;01;04064000;221;        3226,190;        22670,75                                                                                                                                                  
2020;01;04064000;999;      129182,580;       784201,12                                                                                                                                                  
2020;01;04069010;203;      174534,800;      1171675,45                                                                                                                                                  
2020;01;04069010;208;       63984,550;       432996,43                                                                                                                                                  
2020;01;04069010;212;       68484,570;       425724,92                                                                                                                                                  
2020;01;04069010;221;        5299,530;        37643,34                                                                                                                                                  
2020;01;04069010;444;      547781,240;      3124341,28                                                                                                                                                  
2020;01;04069010;999;       60978,870;       363876,57                                                                                                                                                  
2020;01;04069020;203;      191032,000;       662308,40                                                                                                                                                  
2020;01;04069020;208;      462356,250;      1542057,25                                                                                                                                                  
2020;01;04069020;221;      143408,470;       508389,42                                                                                                                                                  
2020;01;04069020;444;      949745,780;      3316289,88                                                                                                                                                  
2020;01;04069020;999;      431259,580;      1486321,01                                                                                                                                                  
2020;01;04069030;221;        9009,470;        34293,30                                                                                                                                                  
2020;01;04069030;999;       14921,780;        53597,48                                                                                                                                                  
2020;01;04089100;208;       28000,000;       144558,78                                                                                                                                                  
2020;01;04089100;999;      123715,000;       546558,34                                                                                                                                                  
2020;01;04090000;212;     1733283,970;      3621090,03                                                                                                                                                  
2020;01;04090000;320;      212125,000;       561857,91                                                                                                                                                  
2020;01;04090000;438;      941139,500;      2134112,83                                                                                                                                                  
2020;01;04090000;999;      548429,000;      1270449,25                                                                                                                                                  
2020;01;05040011;999;      322027,000;       383771,30                                                                                                                                                  
2020;01;05040019;999;       48495,000;        39355,00                                                                                                                                                  
2020;01;05040090;108;      592586,670;       614613,80                                                                                                                                                  
2020;01;05040090;109;       88000,000;        86310,90                                                                                                                                                  
2020;01;05040090;117;      494600,000;       553806,80                                                                                                                                                  
2020;01;05040090;149;      621050,000;       681267,50                                                                                                                                                  
2020;01;05040090;159;      372660,000;       260930,57                                                                                                                                                  
2020;01;05040090;341;      208672,600;       361081,20                                                                                                                                                  
2020;01;05040090;999;      231596,390;       236025,41                                                                                                                                                  
2020;01;05059000;337;     1394556,500;       459127,54                                                                                                                                                  
2020;01;05059000;999;      216306,000;        74786,98                                                                                                                                                  
2020;01;05069000;310;      464102,510;       563858,53                                                                                                                                                  
2020;01;05069000;999;       44235,000;        16747,20                                                                                                                                                  
2020;01;05100090;999;       68708,200;       517454,24                                                                                                                                                  
2020;01;05119910;999;           1,370;        84260,43                                                                                                                                                  
2020;01;05119999;221;       61385,000;       281835,00                                                                                                                                                  
2020;01;05119999;999;      848422,000;       772405,32                                                                                                                                                  
2020;01;07019000;221;     3666764,800;       221515,10                                                                                                                                                  
2020;01;07020000;221;     1995423,000;       152940,00                                                                                                                                                  
2020;01;07020000;999;       89856,000;        69888,00                                                                                                                                                  
2020;01;07031019;221;       82100,000;         4450,00                                                                                                                                                  
2020;01;07031019;999;        2000,000;         1100,00                                                                                                                                                  
2020;01;07032090;203;    14600600,000;     26356346,50                                                                                                                                                  
2020;01;07032090;212;     2134600,010;      3073986,94                                                                                                                                                  
