hs6;hs;sitc3;cod_omc_2;cat_omc_2_en;cod_omc_1;cat_omc_1_en;cat_omc_2;cat_omc_1
'152200;HS 2017;'43133;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160100;HS 2017;'0172;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160220;HS 2017;'0173;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160231;HS 2017;'0174;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160232;HS 2017;'0174;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160249;HS 2017;'0175;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160250;HS 2017;'0176;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160300;HS 2017;'0171;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160416;HS 2017;'03715;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160419;HS 2017;'03715;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160420;HS 2017;'03716;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'160590;HS 2007;'03722;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170111;HS 2007;'06111;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170191;HS 2017;'06121;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170199;HS 2017;'06129;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170211;HS 2017;'06191;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170219;HS 2017;'06191;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170230;HS 2017;'06193;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170240;HS 2017;'06194;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170260;HS 2017;'06196;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170290;HS 2017;'06199;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170310;HS 2017;'06151;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170410;HS 2017;'06221;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'170490;HS 2017;'06229;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'180610;HS 2017;'0731;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'180620;HS 2017;'0732;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'180631;HS 2017;'0733;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'180632;HS 2017;'0733;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'180690;HS 2017;'0739;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190110;HS 2017;'09893;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190120;HS 2017;'0485;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190190;HS 2017;'09894;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190211;HS 2017;'0483;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190219;HS 2017;'0483;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190220;HS 2017;'09891;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190230;HS 2017;'09891;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190410;HS 2017;'04811;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190420;HS 2017;'04811;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190490;HS 2017;'04812;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190520;HS 2017;'04842;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190531;HS 2017;'04842;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190532;HS 2017;'04842;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190540;HS 2017;'04841;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'190590;HS 2017;'04849;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200210;HS 2017;'05672;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200290;HS 2017;'05673;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200410;HS 2017;'05661;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200490;HS 2017;'05669;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200540;HS 2017;'05679;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200551;HS 2017;'05679;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200560;HS 2017;'05679;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200570;HS 2017;'05679;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200580;HS 2017;'05677;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200590;HS 2002;'05679;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200710;HS 2017;'09813;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200791;HS 2017;'0581;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
'200799;HS 2017;'0581;3101;Food;31;Agricultural products;Productos alimenticios;Productos agrícolas
