Año;Mes;NCM;Pdes;Pnet(kg);FOB(u$s)
2020;01;03038951;205;      613680,000;       661604,00                                                                                                                                                  
2020;01;03038954;203;       87340,000;       100620,00                                                                                                                                                  
2020;01;03038990;202;       51320,000;        55584,00                                                                                                                                                  
2020;01;03038990;310;      168329,520;       254337,68                                                                                                                                                  
2020;01;03038990;444;       51604,700;        82434,30                                                                                                                                                  
2020;01;03039990;309;       38710,000;       151692,00                                                                                                                                                  
2020;01;03047400;203;     2850189,540;      8405735,26                                                                                                                                                  
2020;01;03047400;212;      152413,800;       464238,92                                                                                                                                                  
2020;01;03047400;319;      135030,000;       406402,48                                                                                                                                                  
2020;01;03047400;410;      375260,150;      1036692,97                                                                                                                                                  
2020;01;03047400;417;       98646,330;       294182,37                                                                                                                                                  
2020;01;03047400;424;      189000,000;       603633,45                                                                                                                                                  
2020;01;03047400;425;      122938,750;       332145,98                                                                                                                                                  
2020;01;03047400;444;      328573,000;       925742,68                                                                                                                                                  
2020;01;03047400;445;       82734,000;       234017,45                                                                                                                                                  
2020;01;03048990;203;       41733,000;       244735,50                                                                                                                                                  
2020;01;03048990;212;      102078,140;       556367,97                                                                                                                                                  
2020;01;03048990;310;      108912,000;       337775,10                                                                                                                                                  
2020;01;03048990;335;      144711,000;       399585,21                                                                                                                                                  
2020;01;03048990;501;       88873,000;       335933,68                                                                                                                                                  
2020;01;03048990;999;       54600,000;       180180,00                                                                                                                                                  
2020;01;03056300;127;      221501,000;       487114,45                                                                                                                                                  
2020;01;03056300;222;      135114,000;       394777,30                                                                                                                                                  
2020;01;03056300;410;      311838,000;       996867,30                                                                                                                                                  
2020;01;03061400;212;      205511,370;      3557239,30                                                                                                                                                  
2020;01;03061710;159;      160992,000;       693841,20                                                                                                                                                  
2020;01;03061710;309;      122976,000;       702288,96                                                                                                                                                  
2020;01;03061710;310;      240000,000;      1264528,88                                                                                                                                                  
2020;01;03061710;320;      324204,000;      1669832,62                                                                                                                                                  
2020;01;03061710;410;     2328744,000;     10933477,32                                                                                                                                                  
2020;01;03061710;412;       92004,000;       440368,75                                                                                                                                                  
2020;01;03061710;413;      138576,000;       633194,54                                                                                                                                                  
2020;01;03061710;417;      699410,400;      3620209,30                                                                                                                                                  
2020;01;03061710;444;      274512,000;      1284923,31                                                                                                                                                  
2020;01;03061790;212;      368649,910;      2892433,16                                                                                                                                                  
2020;01;03061790;222;     1447104,500;     10937153,03                                                                                                                                                  
2020;01;03061790;310;     1749517,500;     12415156,86                                                                                                                                                  
2020;01;03061790;316;      362343,000;      2622264,49                                                                                                                                                  
2020;01;03061790;335;     1010038,000;      6889665,06                                                                                                                                                  
2020;01;03061790;337;      441245,000;      3251858,92                                                                                                                                                  
2020;01;03061790;410;     1921398,000;     14378375,16                                                                                                                                                  
2020;01;03061790;417;      319332,000;      2721956,00                                                                                                                                                  
2020;01;03061790;444;      252195,000;      1953471,14                                                                                                                                                  
2020;01;04cccccc;102;      902400,000;      2332480,00                                                                                                                                                  
2020;01;04cccccc;202;       61088,980;       147556,83                                                                                                                                                  
2020;01;04cccccc;203;      776324,000;      2439320,02                                                                                                                                                  
2020;01;04cccccc;208;       95819,510;       323054,09                                                                                                                                                  
2020;01;04cccccc;218;      131746,000;       474392,72                                                                                                                                                  
2020;01;04cccccc;221;       29398,960;        73235,35                                                                                                                                                  
